old id,time,new id,amount,price,direction
124926641920267325128568484,2021-05-06 10:37:41.528,102166815632,0.0854,3496.68,buy
124926641920267325153441478,2021-05-06 10:37:41.528,102166815631,0.2459,3496.68,buy
124926641993267325111726100,2021-05-06 10:37:41.604,102166815633,0.0572,3496.68,buy
124926642101267326261456287,2021-05-06 10:37:41.642,102166815634,0.0219,3496.71,buy
124926643310267325036327454,2021-05-06 10:37:42.724,102166815635,1.047,3496.8,buy
124926643486267325237588024,2021-05-06 10:37:42.980,102166815636,0.1109,3496.79,sell
124926643488267325036327454,2021-05-06 10:37:42.983,102166815637,0.0157,3496.8,buy
old id,time,new id,amount,price,direction
124926762431267326286615545,2021-05-06 10:39:26.309,102166816465,0.012,3492.97,buy
124926762998267326286615545,2021-05-06 10:39:26.858,102166816466,0.0072,3492.97,buy
124926763020267325095334080,2021-05-06 10:39:26.873,102166816468,0.4193,3492.97,buy
124926763020267326286615545,2021-05-06 10:39:26.873,102166816467,0.1001,3492.97,buy
124926763302267325170017021,2021-05-06 10:39:27.009,102166816469,0.0057,3493.57,sell
124926763631267325170017021,2021-05-06 10:39:27.372,102166816470,0.001,3493.57,sell
124926763734267325153729073,2021-05-06 10:39:27.533,102166816479,0.0405,3493.57,sell
124926763734267325161727416,2021-05-06 10:39:27.533,102166816478,0.2325,3493.57,sell
124926763734267325095335110,2021-05-06 10:39:27.533,102166816477,0.0589,3493.57,sell
124926763734267325120467076,2021-05-06 10:39:27.533,102166816476,0.21,3493.57,sell
124926763734267325262618269,2021-05-06 10:39:27.533,102166816475,0.14,3493.57,sell
124926763734267325136886516,2021-05-06 10:39:27.533,102166816474,0.13,3493.57,sell
124926763734267325102549896,2021-05-06 10:39:27.533,102166816473,0.17,3493.57,sell
124926763734267325077416177,2021-05-06 10:39:27.533,102166816472,0.27,3493.57,sell
124926763734267325170017021,2021-05-06 10:39:27.533,102166816471,1.8572,3493.57,sell
124926763894267325153729073,2021-05-06 10:39:27.688,102166816480,0.005,3493.57,sell
124926763963267326286616636,2021-05-06 10:39:27.748,102166816482,0.0278,3493.58,buy
124926763963267326865515220,2021-05-06 10:39:27.748,102166816481,0.0034,3493.58,buy
124926764099267325195119375,2021-05-06 10:39:27.910,102166816486,0.2818,3493.58,buy
124926764099267325078392553,2021-05-06 10:39:27.910,102166816485,0.0578,3493.58,buy
124926764099267326529951296,2021-05-06 10:39:27.910,102166816484,0.0299,3493.58,buy
124926764099267326286616636,2021-05-06 10:39:27.910,102166816483,0.0036,3493.58,buy
124926764139267325195119375,2021-05-06 10:39:27.940,102166816487,0.0122,3493.58,buy
124926764144267325153729073,2021-05-06 10:39:27.944,102166816488,0.001,3493.57,sell
124926764170267325195119375,2021-05-06 10:39:27.974,102166816489,0.0312,3493.58,buy
old id,time,new id,amount,price,direction
124926788178267325178577863,2021-05-06 10:39:54.157,102166816592,0.0505,3493.36,sell
124926788791267325271114371,2021-05-06 10:39:55.055,102166816593,0.07959900541883626,3493.37,buy
